%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
266,3217.71,49955.87,3616.46,50869.00,3291.57,47692210.18,1630.18,862.04,?,0.18
267,3194.37,49979.47,3634.83,50887.67,3275.67,12127630.17,1100.17,217.02,0.18,0.17
268,3236.84,50301.69,3600.20,51221.45,3299.72,16813480.18,1240.18,289.03,0.17,0.18
269,3290.09,50936.34,3605.25,51846.54,3336.44,6680830.17,1040.17,116.20,0.18,0.17
270,3296.37,50819.81,3598.66,51704.53,3352.18,10154520.18,1160.18,178.43,0.17,0.18
271,?,?,?,?,?,?,?,?,0.18,?
272,?,?,?,?,?,?,?,?,?,?
273,3275.69,50301.85,3571.03,51191.50,3349.29,6821490.18,1020.18,120.76,?,0.18
274,3315.88,50782.48,3622.99,51691.24,3351.68,6725860.17,820.17,115.86,0.18,0.17
275,3320.03,50803.40,3566.65,51709.58,3364.40,48906150.18,2350.18,834.49,0.17,0.18
276,3338.30,50982.03,3574.04,51911.61,3383.62,15525740.17,940.17,265.84,0.18,0.17
277,3322.87,50601.24,3477.31,51511.63,3381.52,5687330.18,920.18,101.25,0.17,0.18
278,?,?,?,?,?,?,?,?,0.18,?
279,?,?,?,?,?,?,?,?,?,?
280,3307.23,50338.71,3467.91,51239.47,3383.60,7730550.18,950.18,134.89,?,0.18
281,3285.49,50137.88,3451.34,51021.26,3368.14,9701970.17,710.17,170.07,0.18,0.17
282,3299.43,50335.02,3455.40,51215.99,3379.96,46570280.16,1800.16,782.55,0.17,0.16
283,3371.00,51806.83,3538.68,52744.48,3454.41,26454070.17,1750.17,447.27,0.16,0.17
284,3402.39,52230.47,3592.86,53193.87,3477.04,23480480.17,1630.17,392.06,0.17,0.17
285,?,?,?,?,?,?,?,?,0.17,?
286,?,?,?,?,?,?,?,?,?,?
287,3447.55,52520.91,3562.26,53498.97,3508.85,13165790.16,1050.16,219.31,?,0.16
288,3490.38,52590.73,3536.38,53588.87,3544.07,5776080.16,760.16,93.29,0.16,0.16
289,3511.41,52861.41,3569.97,53918.41,3548.14,6375180.17,880.17,104.30,0.16,0.17
290,3514.54,52573.59,3523.81,53571.90,3572.96,6616360.17,700.17,108.16,0.17,0.17
291,3452.12,52587.24,3502.38,53572.92,3535.97,38552270.17,2190.17,618.20,0.17,0.17
292,?,?,?,?,?,?,?,?,0.17,?
293,?,?,?,?,?,?,?,?,?,?
294,3528.36,53853.55,3582.49,54903.39,3606.06,10144570.16,580.16,167.04,?,0.16
295,3534.57,53781.81,3581.69,54818.06,3615.60,4750270.17,490.17,78.17,0.16,0.17
296,3522.13,53389.74,3557.67,54433.41,3596.10,37337500.16,1410.16,596.92,0.17,0.16
297,3563.56,53994.46,3569.92,55063.75,3637.76,6388280.17,540.17,104.69,0.16,0.17
298,3567.78,53887.13,3504.68,55023.42,3651.19,3009240.17,490.17,49.96,0.17,0.17
299,?,?,?,?,?,?,?,?,0.17,?
300,?,?,?,?,?,?,?,?,?,?
301,3559.25,54180.04,3534.47,55362.19,3660.45,3928780.17,690.17,64.69,?,0.17
302,3572.51,54536.95,3588.30,55688.45,3688.57,5104240.17,860.17,84.42,0.17,0.17
303,3531.31,54095.32,3554.78,55240.01,3660.80,41179320.16,2730.16,655.13,0.17,0.16
