%310
@RELATION PLATM0000021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
291,1051.86,52587.24,3833.68,53572.92,3535.97,89402.50,82.50,22.42,2.53,2.50
292,?,?,?,?,?,?,?,?,2.50,?
293,?,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,3887.06,54903.39,3606.06,2270762.59,402.59,576.04,?,2.59
295,1078.51,53781.81,3846.75,54818.06,3615.60,1784782.80,652.80,472.15,2.59,2.80
296,1074.66,53389.74,3816.87,54433.41,3596.10,324942.88,312.88,91.07,2.80,2.88
297,1083.34,53994.46,3899.85,55063.75,3637.76,1053192.97,552.97,304.93,2.88,2.97
298,1095.80,53887.13,3848.17,55023.42,3651.19,399633.02,633.02,121.37,2.97,3.02
299,?,?,?,?,?,?,?,?,3.02,?
300,?,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,3812.98,55362.19,3660.45,362383.02,403.02,109.76,?,3.02
302,1114.63,54536.95,3817.81,55688.45,3688.57,402613.02,373.02,121.19,3.02,3.02
303,1107.62,54095.32,3821.59,55240.01,3660.80,70332.95,182.95,20.95,3.02,2.95
304,1109.36,53607.86,3799.39,54734.18,3628.73,1319312.95,722.95,383.46,2.95,2.95
305,?,?,?,?,?,?,?,?,2.95,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,3834.21,55121.60,3668.56,14242,18,41.86,?,2.95
309,1101.37,53504.47,3804.45,54600.05,3645.18,71025,51,204.29,2.95,2.89
310,1106.35,53924.01,3810.40,55035.36,3650.27,36074,44,100.97,2.89,2.85
340,991.5027484429278,45857.110734846676,3254.8821582088017,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,3313.519908237942,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,3372.157658267083,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,3548.0709083545053,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,3899.8974085293503,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
