%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
221,909.96,49125.36,1228.51,49994.77,133893.79,123.79,50.74,3.83,3.79
222,?,?,?,?,?,?,?,3.79,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1249.41,50476.37,83063.73,153.73,31.54,?,3.73
225,922.16,49747.66,1253.14,50646.05,50063.72,63.72,19.02,3.73,3.72
226,928.58,50223.95,1260.91,51152.95,96413.83,413.83,36.95,3.72,3.83
227,?,?,?,?,?,?,?,3.83,?
228,928.83,49976.48,1262.98,50906.11,53823.70,123.70,20.16,?,3.70
229,?,?,?,?,?,?,?,3.70,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1251.04,50713.14,162523.48,303.48,57.23,?,3.48
232,914.58,49162.16,1247.19,50077.30,292703.55,463.55,101.90,3.48,3.55
233,920.30,49128.05,1248.67,50032.45,299693.52,443.52,108.42,3.55,3.52
234,931.73,49846.48,1258.64,50780.47,22013.54,83.54,7.75,3.52,3.54
235,930.27,49895.10,1247.33,50836.47,28933.50,53.50,9.96,3.54,3.50
236,?,?,?,?,?,?,?,3.50,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1237.10,50756.86,87943.57,153.57,30.34,?,3.57
239,921.40,48833.58,1229.04,49731.02,61103.70,213.70,21.75,3.57,3.70
240,919.00,48537.65,1239.92,49421.50,36103.70,133.70,13.02,3.70,3.70
241,924.88,48676.45,1251.80,49569.11,47013.67,113.67,17.14,3.70,3.67
242,925.91,48871.98,1261.01,49771.98,74683.60,203.60,27.08,3.67,3.60
243,?,?,?,?,?,?,?,3.60,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1259.01,50099.55,160023.30,373.30,56.45,?,3.30
246,926.93,48968.87,1257.15,49861.54,39363.39,113.39,13.16,3.30,3.39
247,918.91,47919.09,1243.35,48781.63,78343.20,163.20,25.03,3.39,3.20
248,890.19,45830.66,1185.76,46598.42,190083.15,223.15,59.46,3.20,3.15
249,902.70,46717.04,1237.06,47514.09,246792.93,552.93,71.28,3.15,2.93
250,?,?,?,?,?,?,?,2.93,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1243.34,48651.54,201992.70,332.70,55.85,?,2.70
253,931.39,48961.51,1250.38,49839.90,78742.89,162.89,22.62,2.70,2.89
254,934.25,49437.02,1263.62,50312.63,31932.89,102.89,9.14,2.89,2.89
255,943.52,49771.55,1276.66,50644.38,79982.80,212.80,22.78,2.89,2.80
256,948.06,49348.61,1298.01,50196.31,53262.87,132.87,15.08,2.80,2.87
257,?,?,?,?,?,?,?,2.87,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1275.46,49741.35,79512.80,122.80,21.86,?,2.80
260,960.97,49434.46,1297.54,50258.11,24722.84,62.84,6.90,2.80,2.84
261,957.28,49413.33,1284.43,50227.43,18692.84,62.84,5.26,2.84,2.84
