%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
211,870.15,46663.41,1213.77,47398.08,3398.45,38.45,2.83,8.48,8.45
212,878.25,46925.65,1223.90,47676.43,18.45,18.45,0.01,8.45,8.45
213,881.30,47370.81,1222.52,48147.76,1008.45,18.45,0.85,8.45,8.45
214,884.10,48325.33,1231.68,49133.14,18788.45,68.45,15.88,8.45,8.45
215,?,?,?,?,?,?,?,8.45,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1230.24,49272.86,6608.45,78.45,5.58,?,8.45
218,891.86,47942.81,1233.34,48742.34,3708.45,58.45,3.13,8.45,8.45
219,898.91,48306.55,1236.11,49124.78,108.45,18.45,0.08,8.45,8.45
220,903.85,48862.88,1227.93,49700.18,408.45,28.45,0.34,8.45,8.45
221,909.96,49125.36,1228.51,49994.77,28.45,18.45,0.02,8.45,8.45
222,?,?,?,?,?,?,?,8.45,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1249.41,50476.37,18.45,18.45,0.01,?,8.45
225,922.16,49747.66,1253.14,50646.05,9108.40,38.40,7.66,8.45,8.40
226,928.58,50223.95,1260.91,51152.95,28.40,18.40,0.02,8.40,8.40
227,?,?,?,?,?,?,?,8.40,?
228,928.83,49976.48,1262.98,50906.11,9368.39,38.39,7.85,?,8.39
229,?,?,?,?,?,?,?,8.39,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1251.04,50713.14,61188.30,158.30,48.12,?,8.30
232,914.58,49162.16,1247.19,50077.30,12078.35,78.35,9.86,8.30,8.35
233,920.30,49128.05,1248.67,50032.45,5068.35,48.35,4.02,8.35,8.35
234,931.73,49846.48,1258.64,50780.47,17548.33,98.33,14.59,8.35,8.33
235,930.27,49895.10,1247.33,50836.47,7358.25,48.25,5.85,8.33,8.25
236,?,?,?,?,?,?,?,8.25,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1237.10,50756.86,12608.25,78.25,10.36,?,8.25
239,921.40,48833.58,1229.04,49731.02,11348.19,78.19,9.01,8.25,8.19
240,919.00,48537.65,1239.92,49421.50,1778.10,58.10,1.39,8.19,8.10
241,924.88,48676.45,1251.80,49569.11,338.10,28.10,0.27,8.10,8.10
242,925.91,48871.98,1261.01,49771.98,1218.10,18.10,0.98,8.10,8.10
243,?,?,?,?,?,?,?,8.10,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1259.01,50099.55,33977.78,247.78,25.09,?,7.78
246,926.93,48968.87,1257.15,49861.54,20937.22,147.22,15.29,7.78,7.22
247,918.91,47919.09,1243.35,48781.63,5377.20,67.20,3.93,7.22,7.20
248,890.19,45830.66,1185.76,46598.42,5977.20,117.20,4.27,7.20,7.20
249,902.70,46717.04,1237.06,47514.09,327.47,47.47,0.23,7.20,7.47
250,?,?,?,?,?,?,?,7.47,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1243.34,48651.54,2717.68,37.68,1.99,?,7.68
253,931.39,48961.51,1250.38,49839.90,15327.57,117.57,11.71,7.68,7.57
254,934.25,49437.02,1263.62,50312.63,11207.70,337.70,8.45,7.57,7.70
255,943.52,49771.55,1276.66,50644.38,18917.55,97.55,13.93,7.70,7.55
256,948.06,49348.61,1298.01,50196.31,3517.56,57.56,2.65,7.55,7.56
257,?,?,?,?,?,?,?,7.56,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1275.46,49741.35,47.56,17.56,0.03,?,7.56
260,960.97,49434.46,1297.54,50258.11,2557.50,37.50,1.91,7.56,7.50
261,957.28,49413.33,1284.43,50227.43,10557.51,67.51,7.92,7.50,7.51
262,963.32,50300.53,1287.16,51171.25,4027.65,37.65,3.02,7.51,7.65
263,962.49,50308.19,1303.27,51202.75,37.65,17.65,0.02,7.65,7.65
264,?,?,?,?,?,?,?,7.65,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1279.78,50869.00,2507.50,47.50,1.89,?,7.50
267,957.44,49979.47,1298.17,50887.67,9007.50,177.50,6.70,7.50,7.50
268,961.02,50301.69,1316.37,51221.45,17.50,17.50,0.01,7.50,7.50
269,969.92,50936.34,1330.10,51846.54,4477.44,37.44,3.33,7.50,7.44
270,977.10,50819.81,1345.84,51704.53,2437.46,37.46,1.81,7.44,7.46
271,?,?,?,?,?,?,?,7.46,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,1344.48,51191.50,2347.46,47.46,1.75,?,7.46
274,984.17,50782.48,1340.21,51691.24,3407.50,57.50,2.52,7.46,7.50
