%310
@RELATION PLNFI0900014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
245,3129.09,49187.22,847.57,50099.55,3230.20,3667780.84,1100.84,305.77,?,0.84
246,3139.25,48968.87,847.29,49861.54,3226.75,3995810.82,1050.82,331.07,0.84,0.82
247,3092.12,47919.09,850.43,48781.63,3174.71,51395580.79,5290.79,4116.63,0.82,0.79
248,2958.80,45830.66,808.45,46598.42,3061.25,76151410.75,7690.75,5686.16,0.79,0.75
249,3043.50,46717.04,814.44,47514.09,3142.61,26400370.79,3790.79,2038.86,0.75,0.79
250,?,?,?,?,?,?,?,?,0.79,?
251,?,?,?,?,?,?,?,?,?,?
252,3124.36,47808.90,828.10,48651.54,3199.68,12774770.80,1540.80,1017.03,?,0.80
253,3166.39,48961.51,855.05,49839.90,3256.85,7590520.81,1390.81,616.67,0.80,0.81
254,3194.64,49437.02,865.79,50312.63,3285.29,9857970.80,2010.80,781.50,0.81,0.80
255,3213.18,49771.55,859.90,50644.38,3303.55,5747090.80,1240.80,457.92,0.80,0.80
256,3183.67,49348.61,850.24,50196.31,3285.49,6847020.79,1290.79,546.32,0.80,0.79
257,?,?,?,?,?,?,?,?,0.79,?
258,?,?,?,?,?,?,?,?,?,?
259,3135.12,48917.85,835.98,49741.35,3260.05,12371980.78,1950.78,980.17,?,0.78
260,3156.03,49434.46,844.69,50258.11,3286.61,7652530.78,1360.78,600.14,0.78,0.78
261,3157.83,49413.33,854.80,50227.43,3277.41,11163750.77,1820.77,863.72,0.78,0.77
262,3222.54,50300.53,853.33,51171.25,3316.59,14989860.78,2500.78,1176.96,0.77,0.78
263,3229.62,50308.19,851.53,51202.75,3316.08,1476770.79,650.79,115.60,0.78,0.79
264,?,?,?,?,?,?,?,?,0.79,?
265,?,?,?,?,?,?,?,?,?,?
266,3217.71,49955.87,848.47,50869.00,3291.57,3683980.77,980.77,286.93,?,0.77
267,3194.37,49979.47,845.90,50887.67,3275.67,4577810.78,920.78,357.33,0.77,0.78
268,3236.84,50301.69,884.37,51221.45,3299.72,9854680.76,2550.76,752.11,0.78,0.76
269,3290.09,50936.34,895.58,51846.54,3336.44,8334670.78,2300.78,639.85,0.76,0.78
270,3296.37,50819.81,894.72,51704.53,3352.18,4691590.77,1620.77,360.05,0.78,0.77
271,?,?,?,?,?,?,?,?,0.77,?
272,?,?,?,?,?,?,?,?,?,?
273,3275.69,50301.85,886.97,51191.50,3349.29,4640610.76,3430.76,352.80,?,0.76
274,3315.88,50782.48,895.16,51691.24,3351.68,18271390.74,3060.74,1363.76,0.76,0.74
275,3320.03,50803.40,912.79,51709.58,3364.40,20033020.74,3260.74,1465.31,0.74,0.74
276,3338.30,50982.03,916.16,51911.61,3383.62,10973160.75,2380.75,810.09,0.74,0.75
277,3322.87,50601.24,903.74,51511.63,3381.52,17812510.73,2430.73,1314.23,0.75,0.73
278,?,?,?,?,?,?,?,?,0.73,?
279,?,?,?,?,?,?,?,?,?,?
280,3307.23,50338.71,905.58,51239.47,3383.60,9040590.73,990.73,667.70,?,0.73
281,3285.49,50137.88,903.36,51021.26,3368.14,3293210.74,610.74,243.96,0.73,0.74
282,3299.43,50335.02,905.89,51215.99,3379.96,4475610.74,1190.74,330.81,0.74,0.74
283,3371.00,51806.83,910.72,52744.48,3454.41,29677740.78,3660.78,2287.95,0.74,0.78
284,3402.39,52230.47,927.46,53193.87,3477.04,19542910.79,2100.79,1523.77,0.78,0.79
285,?,?,?,?,?,?,?,?,0.79,?
286,?,?,?,?,?,?,?,?,?,?
287,3447.55,52520.91,925.73,53498.97,3508.85,4395570.77,940.77,344.27,?,0.77
288,3490.38,52590.73,928.70,53588.87,3544.07,17432700.79,1860.79,1373.52,0.77,0.79
289,3511.41,52861.41,926.13,53918.41,3548.14,20430380.79,2040.79,1612.81,0.79,0.79
290,3514.54,52573.59,913.76,53571.90,3572.96,8247760.81,1470.81,659.65,0.79,0.81
291,3452.12,52587.24,923.12,53572.92,3535.97,22424010.80,2700.80,1804.53,0.81,0.80
292,?,?,?,?,?,?,?,?,0.80,?
293,?,?,?,?,?,?,?,?,?,?
294,3528.36,53853.55,938.91,54903.39,3606.06,6655070.80,1420.80,530.86,?,0.80
295,3534.57,53781.81,974.75,54818.06,3615.60,9979620.79,2770.79,782.89,0.80,0.79
296,3522.13,53389.74,986.27,54433.41,3596.10,13799210.76,2500.76,1066.04,0.79,0.76
297,3563.56,53994.46,1016.95,55063.75,3637.76,23666760.79,3120.79,1861.86,0.76,0.79
298,3567.78,53887.13,1023.97,55023.42,3651.19,11025460.79,2020.79,869.21,0.79,0.79
299,?,?,?,?,?,?,?,?,0.79,?
300,?,?,?,?,?,?,?,?,?,?
301,3559.25,54180.04,1046.01,55362.19,3660.45,13570780.78,3140.78,1065.18,?,0.78
302,3572.51,54536.95,1059.38,55688.45,3688.57,9778060.77,2000.77,759.83,0.78,0.77
303,3531.31,54095.32,1023.40,55240.01,3660.80,12491030.77,2640.77,966.50,0.77,0.77
304,3488.69,53607.86,1025.71,54734.18,3628.73,5908230.77,1810.77,453.04,0.77,0.77
305,?,?,?,?,?,?,?,?,0.77,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,3514.71,53989.37,1025.67,55121.60,3668.56,476538,136,369.07,?,0.78
309,3493.80,53504.47,1014.80,54600.05,3645.18,874882,178,676.83,0.78,0.76
