%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
158,2595.30,2886.30,48209.65,2580.49,3771.86,6847.02,48918.37,22363997.00,10097.00,21692.84,95.99,97.00
159,?,?,?,?,?,?,?,?,?,?,97.00,?
160,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2904.56,48495.01,2587.96,3791.64,6987.45,49207.65,2182198.50,5398.50,2145.70,?,98.50
162,2595.04,2931.48,48324.52,2579.42,3771.49,6939.96,49050.96,5849799.10,6099.10,5800.71,98.50,99.10
163,2591.90,2943.65,48383.93,2564.00,3766.92,6925.73,49098.70,2237199.90,3199.90,2222.11,99.10,99.90
164,2573.85,2925.31,48152.82,2551.55,3740.69,6920.17,48890.47,3728399.00,6099.00,3692.98,99.90,99.00
165,2583.39,2942.25,48273.42,2554.84,3754.56,6940.89,49057.66,855799.00,3699.00,848.77,99.00,99.00
166,?,?,?,?,?,?,?,?,?,?,99.00,?
167,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2956.40,48131.61,2552.66,3743.05,6872.58,48917.56,81055101.80,218101.80,8154.88,?,101.80
169,2571.29,2979.55,48119.72,2541.67,3736.96,6892.10,48891.04,17031100.80,202100.80,1728.82,101.80,100.80
170,2537.36,2974.95,47743.10,2537.78,3707.74,6858.80,48509.84,50446100.65,124100.65,5082.41,100.80,100.65
171,2429.92,2905.31,45870.00,2447.48,3550.74,6611.14,46587.68,5140399.35,12099.35,5106.48,100.65,99.35
172,2359.89,2844.16,44732.92,2351.03,3448.40,6480.92,45456.77,1689093.65,21993.65,1610.34,99.35,93.65
173,?,?,?,?,?,?,?,?,?,?,93.65,?
174,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2824.47,44824.62,2350.17,3457.35,6510.55,45531.46,3124494.88,8094.88,2940.90,?,94.88
