%310
@RELATION PLGLBLC00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
293,?,?,?,?,?,?,?,?
294,53853.55,54903.39,3606.06,282042.15,262.15,60.63,?,2.15
295,53781.81,54818.06,3615.60,498732.11,352.11,105.42,2.15,2.11
296,53389.74,54433.41,3596.10,71102.11,122.11,14.91,2.11,2.11
297,53994.46,55063.75,3637.76,92112.10,82.10,19.43,2.11,2.10
298,53887.13,55023.42,3651.19,861952.00,662.00,173.65,2.10,2.00
299,?,?,?,?,?,?,2.00,?
300,?,?,?,?,?,?,?,?
301,54180.04,55362.19,3660.45,658522.18,372.18,142.76,?,2.18
302,54536.95,55688.45,3688.57,928602.37,932.37,215.96,2.18,2.37
303,54095.32,55240.01,3660.80,246792.30,232.30,58.03,2.37,2.30
304,53607.86,54734.18,3628.73,263312.30,282.30,61.92,2.30,2.30
305,?,?,?,?,?,?,2.30,?
306,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?
308,53989.37,55121.60,3668.56,148346,57,360.16,?,2.49
309,53504.47,54600.05,3645.18,57070,56,143.21,2.49,2.50
310,53924.01,55035.36,3650.27,7042,13,17.21,2.50,2.45
340,45857.110734846676,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,46189.882480874876,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,46522.654226903076,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,47520.969464987684,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,49517.5999411569,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
