%310
@RELATION AT0000809058
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
287,52520.91,1494.80,21113.15,513.15,2.78,?,13.15
288,52590.73,1502.66,53086613.29,913.29,7053.21,13.15,13.29
289,52861.41,1515.16,79423213.35,713.35,10609.00,13.29,13.35
290,52573.59,1562.31,6781813.45,213.45,912.12,13.35,13.45
291,52587.24,1560.66,11700613.94,2313.94,1603.58,13.45,13.94
292,?,?,?,?,?,13.94,?
293,?,?,?,?,?,?,?
294,53853.55,1567.16,1942813.65,4613.65,267.69,?,13.65
295,53781.81,1553.89,176213.68,613.68,23.94,13.65,13.68
296,53389.74,1546.62,2513.68,113.68,0.34,13.68,13.68
297,53994.46,1547.05,29756613.68,1413.68,4068.29,13.68,13.68
298,53887.13,1563.80,4048413.53,413.53,551.76,13.68,13.53
299,?,?,?,?,?,13.53,?
300,?,?,?,?,?,?,?
301,54180.04,1561.20,328813.42,513.42,44.45,?,13.42
302,54536.95,1571.77,11247313.62,1913.62,1532.02,13.42,13.62
303,54095.32,1565.67,1272913.75,1013.75,174.11,13.62,13.75
304,53607.86,1550.39,1542713.55,1713.55,208.96,13.75,13.55
305,?,?,?,?,?,13.55,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,53989.37,1576.65,318321,60,4389.27,?,13.76
309,53504.47,1569.20,58508,20,807.03,13.76,13.87
310,53924.01,1574.21,69254,51,956.87,13.87,13.85
340,45857.110734846676,1517.0604490598248,?,?,?,?,?,? 
370,46189.882480874876,1525.0638171806484,?,?,?,?,?,? 
400,46522.654226903076,1533.067185301472,?,?,?,?,?,? 
490,47520.969464987684,1557.077289663942,?,?,?,?,?,? 
670,49517.5999411569,1605.0974983888825,?,?,?,?,?,? 
