%310
@RELATION PLMCIMG00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
281,13399.64,50137.88,51021.26,3368.14,4663210.14,9310.14,474.00,10.18,10.14
282,13361.98,50335.02,51215.99,3379.96,7400710.01,10310.01,741.45,10.14,10.01
283,13589.27,51806.83,52744.48,3454.41,5215310.06,18110.06,525.91,10.01,10.06
284,13638.56,52230.47,53193.87,3477.04,834139.99,1859.99,836.63,10.06,9.99
285,?,?,?,?,?,?,?,9.99,?
286,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,53498.97,3508.85,1615959.71,3859.71,1578.69,?,9.71
288,13824.94,52590.73,53588.87,3544.07,670359.72,2379.72,653.76,9.71,9.72
289,13886.79,52861.41,53918.41,3548.14,2064089.78,3709.78,1992.19,9.72,9.78
290,14155.74,52573.59,53571.90,3572.96,16823710.10,28010.10,1685.10,9.78,10.10
291,14253.72,52587.24,53572.92,3535.97,9634710.17,25210.17,968.86,10.10,10.17
292,?,?,?,?,?,?,?,10.17,?
293,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,54903.39,3606.06,9947010.31,23410.31,1021.53,?,10.31
295,14512.68,53781.81,54818.06,3615.60,6644210.25,16910.25,684.93,10.31,10.25
296,14327.32,53389.74,54433.41,3596.10,5078010.10,12210.10,515.07,10.25,10.10
297,14572.10,53994.46,55063.75,3637.76,4150410.03,13710.03,418.08,10.10,10.03
298,14753.57,53887.13,55023.42,3651.19,7237510.07,14010.07,728.23,10.03,10.07
299,?,?,?,?,?,?,?,10.07,?
300,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,55362.19,3660.45,1123849.89,2419.89,1118.93,?,9.89
302,14994.44,54536.95,55688.45,3688.57,1004199.92,1869.92,991.80,9.89,9.92
303,14942.82,54095.32,55240.01,3660.80,822229.90,1679.90,818.38,9.92,9.90
304,14928.63,53607.86,54734.18,3628.73,552049.93,1279.93,549.89,9.90,9.93
305,?,?,?,?,?,?,?,9.93,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,55121.60,3668.56,29777,111,295.91,?,9.95
309,14877.29,53504.47,54600.05,3645.18,70262,166,704.90,9.95,9.94
310,14860.69,53924.01,55035.36,3650.27,29404,93,295.95,9.94,10.09
340,13476.564027366672,45857.110734846676,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
