%310
@RELATION PLACTIN00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
188,?,?,?,?,?,?,?,?,?,?
189,11711.98,960.34,44534.34,45172.40,2948.16,46936.00,2136.00,17.02,?,36.00
190,11610.73,955.08,44342.23,44969.23,2924.69,654236.80,2036.80,240.32,36.00,36.80
191,11643.94,971.81,45068.55,45727.71,2962.09,1130636.88,3736.88,416.64,36.80,36.88
192,11739.32,986.53,45712.72,46390.36,2992.86,3784736.90,2736.90,1395.14,36.88,36.90
193,11784.60,996.18,46150.78,46839.89,3017.66,880237.13,5537.13,326.95,36.90,37.13
194,?,?,?,?,?,?,?,?,37.13,?
195,?,?,?,?,?,?,?,?,?,?
196,11770.78,997.90,46218.05,46922.43,3022.70,109237.20,1937.20,40.61,?,37.20
197,11753.20,997.68,46155.10,46860.35,3017.11,108137.17,1937.17,40.12,37.20,37.17
198,11768.81,1002.01,46287.08,47003.76,3021.27,392637.00,3837.00,145.61,37.17,37.00
199,11813.42,999.65,46221.23,46919.83,3023.16,441636.79,2136.79,162.51,37.00,36.79
200,11837.95,1004.40,46399.74,47120.88,3019.85,294036.91,936.91,108.50,36.79,36.91
201,?,?,?,?,?,?,?,?,36.91,?
202,?,?,?,?,?,?,?,?,?,?
203,11864.19,1008.29,46361.70,47075.43,3021.70,253436.50,3336.50,93.32,?,36.50
204,11905.16,1013.36,46714.43,47454.90,3029.97,1635237.00,1437.00,600.27,36.50,37.00
205,11975.99,1013.85,46835.98,47575.74,3050.63,213736.45,3636.45,78.20,37.00,36.45
206,11939.68,1009.47,46713.02,47446.69,3036.16,1428336.50,4036.50,517.55,36.45,36.50
207,11930.54,999.82,46258.91,46981.22,3015.00,10377837.00,2837.00,3778.31,36.50,37.00
208,?,?,?,?,?,?,?,?,37.00,?
209,?,?,?,?,?,?,?,?,?,?
210,11917.93,1005.01,46480.62,47214.30,3032.94,164136.98,2536.98,60.61,?,36.98
211,11914.45,1006.09,46663.41,47398.08,3038.42,10067536.99,2236.99,3719.85,36.98,36.99
212,11934.08,1008.66,46925.65,47676.43,3046.08,2819336.99,4636.99,1040.99,36.99,36.99
213,12025.60,1020.15,47370.81,48147.76,3060.17,2429338.45,15838.45,913.15,36.99,38.45
214,12096.51,1042.34,48325.33,49133.14,3110.79,616639.35,8239.35,241.10,38.45,39.35
215,?,?,?,?,?,?,?,?,39.35,?
216,?,?,?,?,?,?,?,?,?,?
217,12181.61,1046.18,48458.44,49272.86,3127.41,1604442.29,14442.29,656.34,?,42.29
218,12213.07,1029.49,47942.81,48742.34,3127.38,2172342.05,12742.05,926.44,42.29,42.05
219,12294.72,1032.76,48306.55,49124.78,3168.23,3031541.05,17941.05,1238.36,42.05,41.05
220,12425.78,1043.81,48862.88,49700.18,3190.86,445841.00,5141.00,181.75,41.05,41.00
221,12524.35,1049.50,49125.36,49994.77,3206.86,761941.04,3941.04,309.27,41.00,41.04
222,?,?,?,?,?,?,?,?,41.04,?
223,?,?,?,?,?,?,?,?,?,?
224,12613.68,1065.87,49580.16,50476.37,3225.79,663542.83,9142.83,278.41,?,42.83
225,12783.95,1067.80,49747.66,50646.05,3233.22,1052543.29,6743.29,452.39,42.83,43.29
226,12961.14,1077.48,50223.95,51152.95,3271.49,1943143.60,7143.60,840.05,43.29,43.60
227,?,?,?,?,?,?,?,?,43.60,?
228,12933.31,1070.04,49976.48,50906.11,3253.28,158243.10,3643.10,67.60,?,43.10
229,?,?,?,?,?,?,?,?,43.10,?
230,?,?,?,?,?,?,?,?,?,?
231,12877.73,1068.34,49772.46,50713.14,3237.31,423643.20,3943.20,180.34,?,43.20
232,12831.52,1058.51,49162.16,50077.30,3210.57,671242.31,5142.31,280.65,43.20,42.31
233,12826.21,1059.12,49128.05,50032.45,3221.87,4047245.04,9845.04,1758.35,42.31,45.04
234,12985.38,1076.61,49846.48,50780.47,3260.69,3861347.58,14847.58,1789.32,45.04,47.58
235,13050.37,1075.72,49895.10,50836.47,3260.35,5593651.00,17951.00,2775.48,47.58,51.00
236,?,?,?,?,?,?,?,?,51.00,?
237,?,?,?,?,?,?,?,?,?,?
238,13056.86,1073.76,49818.48,50756.86,3255.45,3927751.80,10551.80,2050.08,?,51.80
239,12781.02,1056.82,48833.58,49731.02,3197.48,1352749.65,12649.65,675.70,51.80,49.65
240,12706.26,1057.65,48537.65,49421.50,3183.87,1347747.90,12747.90,645.97,49.65,47.90
241,12801.41,1059.09,48676.45,49569.11,3204.20,1750149.00,7749.00,857.72,47.90,49.00
242,12801.04,1066.99,48871.98,49771.98,3196.27,734648.35,4948.35,352.83,49.00,48.35
243,?,?,?,?,?,?,?,?,48.35,?
244,?,?,?,?,?,?,?,?,?,?
245,12870.44,1072.50,49187.22,50099.55,3230.20,1721548.15,8748.15,826.21,?,48.15
246,12843.19,1068.28,48968.87,49861.54,3226.75,539949.00,9049.00,264.51,48.15,49.00
247,12637.81,1050.12,47919.09,48781.63,3174.71,845149.99,12649.99,419.53,49.00,49.99
248,12178.22,1001.99,45830.66,46598.42,3061.25,1558448.36,16648.36,742.59,49.99,48.36
249,12457.22,1022.64,46717.04,47514.09,3142.61,413449.33,6049.33,203.21,48.36,49.33
250,?,?,?,?,?,?,?,?,49.33,?
251,?,?,?,?,?,?,?,?,?,?
252,12726.39,1046.43,47808.90,48651.54,3199.68,147449.31,3849.31,72.63,?,49.31
253,12962.91,1073.73,48961.51,49839.90,3256.85,1952849.88,11949.88,972.02,49.31,49.88
254,12983.95,1082.59,49437.02,50312.63,3285.29,145350.00,3350.00,72.79,49.88,50.00
255,13011.41,1091.91,49771.55,50644.38,3303.55,1026150.83,10650.83,525.08,50.00,50.83
256,12998.59,1085.54,49348.61,50196.31,3285.49,386350.60,5250.60,197.55,50.83,50.60
257,?,?,?,?,?,?,?,?,50.60,?
258,?,?,?,?,?,?,?,?,?,?
259,13003.37,1075.00,48917.85,49741.35,3260.05,319949.00,8549.00,158.29,?,49.00
260,13085.22,1083.52,49434.46,50258.11,3286.61,176849.43,3049.43,86.90,49.00,49.43
261,13049.76,1082.59,49413.33,50227.43,3277.41,829949.78,2449.78,412.20,49.43,49.78
262,13124.47,1101.90,50300.53,51171.25,3316.59,774051.84,11451.84,405.89,49.78,51.84
263,13140.38,1102.87,50308.19,51202.75,3316.08,529351.13,5551.13,269.21,51.84,51.13
264,?,?,?,?,?,?,?,?,51.13,?
265,?,?,?,?,?,?,?,?,?,?
266,13089.15,1092.34,49955.87,50869.00,3291.57,125150.63,3450.63,63.80,?,50.63
267,13131.43,1090.75,49979.47,50887.67,3275.67,3691053.90,38253.90,1983.32,50.63,53.90
268,13114.91,1100.93,50301.69,51221.45,3299.72,2271554.50,28954.50,1249.09,53.90,54.50
269,13233.88,1114.22,50936.34,51846.54,3336.44,611455.40,10055.40,338.68,54.50,55.40
270,13346.97,1114.37,50819.81,51704.53,3352.18,1975356.40,11656.40,1105.18,55.40,56.40
271,?,?,?,?,?,?,?,?,56.40,?
272,?,?,?,?,?,?,?,?,?,?
273,13314.68,1101.87,50301.85,51191.50,3349.29,1196456.30,13356.30,681.20,?,56.30
274,13338.19,1107.49,50782.48,51691.24,3351.68,1018756.30,11356.30,573.23,56.30,56.30
275,13386.01,1106.60,50803.40,51709.58,3364.40,940156.50,6956.50,531.25,56.30,56.50
276,13476.11,1106.08,50982.03,51911.61,3383.62,2084157.50,27557.50,1220.65,56.50,57.50
277,13513.64,1100.03,50601.24,51511.63,3381.52,423757.75,8357.75,245.07,57.50,57.75
278,?,?,?,?,?,?,?,?,57.75,?
279,?,?,?,?,?,?,?,?,?,?
280,13477.58,1099.18,50338.71,51239.47,3383.60,803656.79,9656.79,456.11,?,56.79
281,13399.64,1094.43,50137.88,51021.26,3368.14,763956.90,12856.90,437.87,56.79,56.90
282,13361.98,1099.62,50335.02,51215.99,3379.96,298256.90,6756.90,169.49,56.90,56.90
283,13589.27,1133.79,51806.83,52744.48,3454.41,1137757.40,9057.40,653.49,56.90,57.40
284,13638.56,1145.75,52230.47,53193.87,3477.04,456556.85,7556.85,259.48,57.40,56.85
285,?,?,?,?,?,?,?,?,56.85,?
286,?,?,?,?,?,?,?,?,?,?
287,13701.85,1149.36,52520.91,53498.97,3508.85,1422155.40,11755.40,789.71,?,55.40
288,13824.94,1155.55,52590.73,53588.87,3544.07,4906054.50,15354.50,2719.76,55.40,54.50
289,13886.79,1157.21,52861.41,53918.41,3548.14,1149253.25,18453.25,613.62,54.50,53.25
290,14155.74,1145.47,52573.59,53571.90,3572.96,2272853.20,14353.20,1206.66,53.25,53.20
291,14253.72,1149.25,52587.24,53572.92,3535.97,614252.35,9852.35,323.37,53.20,52.35
292,?,?,?,?,?,?,?,?,52.35,?
293,?,?,?,?,?,?,?,?,?,?
294,14459.56,1183.23,53853.55,54903.39,3606.06,4505956.40,22656.40,2414.95,?,56.40
295,14512.68,1179.93,53781.81,54818.06,3615.60,569257.00,8057.00,321.96,56.40,57.00
296,14327.32,1168.29,53389.74,54433.41,3596.10,717557.18,6657.18,406.59,57.00,57.18
297,14572.10,1183.43,53994.46,55063.75,3637.76,1985956.99,7456.99,1130.48,57.18,56.99
298,14753.57,1179.30,53887.13,55023.42,3651.19,1409857.02,8457.02,804.59,56.99,57.02
299,?,?,?,?,?,?,?,?,57.02,?
300,?,?,?,?,?,?,?,?,?,?
301,14896.01,1192.58,54180.04,55362.19,3660.45,4637657.00,5657.00,2644.04,?,57.00
302,14994.44,1198.39,54536.95,55688.45,3688.57,2301356.90,6256.90,1300.14,57.00,56.90
303,14942.82,1190.55,54095.32,55240.01,3660.80,2468156.80,12556.80,1395.75,56.90,56.80
304,14928.63,1179.94,53607.86,54734.18,3628.73,1213556.49,5656.49,685.45,56.80,56.49
305,?,?,?,?,?,?,?,?,56.49,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,15023.33,1187.46,53989.37,55121.60,3668.56,14454,130,798.13,?,55.45
309,14877.29,1170.73,53504.47,54600.05,3645.18,26738,92,1475.14,55.45,55.60
310,14860.69,1181.53,53924.01,55035.36,3650.27,6727,85,367.00,55.60,54.35
340,13476.564027366672,940.5391915423164,45857.110734846676,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
