%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,3498.14,844.92,3901.25,51.25,0.45,?,1.25
260,960.97,49434.46,3583.06,849.85,01.25,01.25,0.00,1.25,1.25
261,957.28,49413.33,3581.84,847.56,10001.22,11.22,1.22,1.25,1.22
262,963.32,50300.53,3605.94,842.09,3011.22,31.22,0.37,1.22,1.22
263,962.49,50308.19,3585.84,841.39,1201.21,11.21,0.15,1.22,1.21
264,?,?,?,?,?,?,?,1.21,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,3517.39,831.22,01.21,01.21,0.00,?,1.21
267,957.44,49979.47,3512.70,833.19,153241.05,51.05,14.86,1.21,1.05
268,961.02,50301.69,3515.41,833.30,246371.07,61.07,26.36,1.05,1.07
269,969.92,50936.34,3538.09,846.31,586001.05,21.05,60.94,1.07,1.05
270,977.10,50819.81,3532.05,846.91,9801.05,11.05,1.03,1.05,1.05
271,?,?,?,?,?,?,?,1.05,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,3494.36,849.49,1001.13,11.13,0.11,?,1.13
274,984.17,50782.48,3499.03,855.03,01.13,01.13,0.00,1.13,1.13
275,987.01,50803.40,3513.56,852.55,01.13,01.13,0.00,1.13,1.13
276,988.62,50982.03,3525.92,848.01,1001.11,11.11,0.11,1.13,1.11
277,992.25,50601.24,3510.90,847.22,01.11,01.11,0.00,1.11,1.11
278,?,?,?,?,?,?,?,1.11,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,3501.94,848.45,1301.11,11.11,0.14,?,1.11
