%310
@RELATION PLINPRO00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
233,920.30,49128.05,1477.77,50032.45,3221.87,114.49,14.49,0.05,4.45,4.49
234,931.73,49846.48,1471.70,50780.47,3260.69,04.49,04.49,0.00,4.49,4.49
235,930.27,49895.10,1463.61,50836.47,3260.35,2884.52,34.52,1.29,4.49,4.52
236,?,?,?,?,?,?,?,?,4.52,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1468.33,50756.86,3255.45,14774.60,34.60,6.79,?,4.60
239,921.40,48833.58,1447.65,49731.02,3197.48,104.65,14.65,0.05,4.60,4.65
240,919.00,48537.65,1440.74,49421.50,3183.87,04.65,04.65,0.00,4.65,4.65
241,924.88,48676.45,1465.81,49569.11,3204.20,04.65,04.65,0.00,4.65,4.65
242,925.91,48871.98,1440.79,49771.98,3196.27,3314.65,24.65,1.51,4.65,4.65
243,?,?,?,?,?,?,?,?,4.65,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1458.21,50099.55,3230.20,5754.65,54.65,2.63,?,4.65
246,926.93,48968.87,1451.26,49861.54,3226.75,814.65,24.65,0.38,4.65,4.65
247,918.91,47919.09,1426.01,48781.63,3174.71,04.65,04.65,0.00,4.65,4.65
248,890.19,45830.66,1364.15,46598.42,3061.25,14.45,14.45,0.00,4.65,4.45
249,902.70,46717.04,1375.61,47514.09,3142.61,45894.28,114.28,20.04,4.45,4.28
250,?,?,?,?,?,?,?,?,4.28,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1385.20,48651.54,3199.68,1804.13,44.13,0.74,?,4.13
253,931.39,48961.51,1408.19,49839.90,3256.85,21934.18,64.18,9.03,4.13,4.18
254,934.25,49437.02,1422.23,50312.63,3285.29,04.18,04.18,0.00,4.18,4.18
255,943.52,49771.55,1436.34,50644.38,3303.55,9794.25,24.25,4.16,4.18,4.25
256,948.06,49348.61,1425.63,50196.31,3285.49,04.25,04.25,0.00,4.25,4.25
257,?,?,?,?,?,?,?,?,4.25,?
258,?,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1415.04,49741.35,3260.05,4614.25,34.25,1.96,?,4.25
260,960.97,49434.46,1419.82,50258.11,3286.61,27704.30,64.30,11.84,4.25,4.30
261,957.28,49413.33,1427.60,50227.43,3277.41,44704.25,44.25,19.00,4.30,4.25
262,963.32,50300.53,1430.45,51171.25,3316.59,654.35,24.35,0.28,4.25,4.35
263,962.49,50308.19,1424.93,51202.75,3316.08,5704.35,14.35,2.48,4.35,4.35
264,?,?,?,?,?,?,?,?,4.35,?
265,?,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1413.29,50869.00,3291.57,6074.35,14.35,2.64,?,4.35
267,957.44,49979.47,1407.11,50887.67,3275.67,694.35,14.35,0.30,4.35,4.35
268,961.02,50301.69,1417.72,51221.45,3299.72,04.35,04.35,0.00,4.35,4.35
269,969.92,50936.34,1433.07,51846.54,3336.44,2004.35,24.35,0.87,4.35,4.35
270,977.10,50819.81,1443.45,51704.53,3352.18,04.35,04.35,0.00,4.35,4.35
271,?,?,?,?,?,?,?,?,4.35,?
272,?,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,1435.33,51191.50,3349.29,5704.35,14.35,2.48,?,4.35
274,984.17,50782.48,1430.56,51691.24,3351.68,1804.40,24.40,0.78,4.35,4.40
275,987.01,50803.40,1447.48,51709.58,3364.40,04.40,04.40,0.00,4.40,4.40
276,988.62,50982.03,1455.40,51911.61,3383.62,6814.40,14.40,3.00,4.40,4.40
277,992.25,50601.24,1444.69,51511.63,3381.52,2504.37,14.37,1.09,4.40,4.37
278,?,?,?,?,?,?,?,?,4.37,?
279,?,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,1445.73,51239.47,3383.60,22854.50,34.50,10.05,?,4.50
281,993.38,50137.88,1430.85,51021.26,3368.14,14.51,14.51,0.00,4.50,4.51
282,996.97,50335.02,1441.04,51215.99,3379.96,8004.56,94.56,3.61,4.51,4.56
283,1011.15,51806.83,1467.04,52744.48,3454.41,1104.78,24.78,0.53,4.56,4.78
284,1024.81,52230.47,1480.78,53193.87,3477.04,66925.09,105.09,33.08,4.78,5.09
285,?,?,?,?,?,?,?,?,5.09,?
286,?,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,1494.80,53498.97,3508.85,20185.00,75.00,9.93,?,5.00
288,1039.64,52590.73,1502.66,53588.87,3544.07,51415.23,175.23,26.22,5.00,5.23
289,1036.86,52861.41,1515.16,53918.41,3548.14,21225.01,75.01,10.80,5.23,5.01
290,1049.92,52573.59,1562.31,53571.90,3572.96,4605.23,45.23,2.31,5.01,5.23
291,1051.86,52587.24,1560.66,53572.92,3535.97,10005.00,35.00,5.02,5.23,5.00
292,?,?,?,?,?,?,?,?,5.00,?
293,?,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,1567.16,54903.39,3606.06,25.24,25.24,0.01,?,5.24
295,1078.51,53781.81,1553.89,54818.06,3615.60,58945.50,145.50,31.57,5.24,5.50
296,1074.66,53389.74,1546.62,54433.41,3596.10,10605.25,65.25,5.61,5.50,5.25
297,1083.34,53994.46,1547.05,55063.75,3637.76,35605.39,105.39,19.44,5.25,5.39
298,1095.80,53887.13,1563.80,55023.42,3651.19,23575.65,35.65,13.32,5.39,5.65
299,?,?,?,?,?,?,?,?,5.65,?
300,?,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,1561.20,55362.19,3660.45,48516.10,126.10,28.90,?,6.10
302,1114.63,54536.95,1571.77,55688.45,3688.57,23006.05,46.05,13.92,6.10,6.05
303,1107.62,54095.32,1565.67,55240.01,3660.80,26066.05,66.05,15.77,6.05,6.05
304,1109.36,53607.86,1550.39,54734.18,3628.73,30005.98,35.98,17.93,6.05,5.98
305,?,?,?,?,?,?,?,?,5.98,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,1576.65,55121.60,3668.56,688,5,4.20,?,6.19
309,1101.37,53504.47,1569.20,54600.05,3645.18,1089,3,6.56,6.19,5.99
310,1106.35,53924.01,1574.21,55035.36,3650.27,801,3,4.76,5.99,5.98
340,991.5027484429278,45857.110734846676,1517.0604490598248,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,1525.0638171806484,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,1533.067185301472,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,1557.077289663942,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,1605.0974983888825,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
