%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
219,898.91,48306.55,1881.25,49124.78,3168.23,812424.09,2054.09,333.37,4.40,4.09
220,903.85,48862.88,1886.72,49700.18,3190.86,625564.19,1294.19,263.80,4.09,4.19
221,909.96,49125.36,1893.84,49994.77,3206.86,4362395.00,4395.00,2034.42,4.19,5.00
222,?,?,?,?,?,?,?,?,5.00,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1919.56,50476.37,3225.79,1055845.15,2805.15,549.76,?,5.15
225,922.16,49747.66,1936.51,50646.05,3233.22,1087165.40,2005.40,579.03,5.15,5.40
226,928.58,50223.95,1962.38,51152.95,3271.49,1200175.65,2745.65,674.25,5.40,5.65
227,?,?,?,?,?,?,?,?,5.65,?
228,928.83,49976.48,1966.79,50906.11,3253.28,233665.59,605.59,130.99,?,5.59
229,?,?,?,?,?,?,?,?,5.59,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1945.70,50713.14,3237.31,641335.15,1345.15,330.65,?,5.15
232,914.58,49162.16,1917.73,50077.30,3210.57,289535.01,1045.01,143.22,5.15,5.01
233,920.30,49128.05,1916.46,50032.45,3221.87,206075.19,575.19,105.53,5.01,5.19
234,931.73,49846.48,1919.07,50780.47,3260.69,134305.17,465.17,69.34,5.19,5.17
235,930.27,49895.10,1931.18,50836.47,3260.35,230085.00,645.00,115.48,5.17,5.00
236,?,?,?,?,?,?,?,?,5.00,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1930.40,50756.86,3255.45,48524.99,244.99,24.13,?,4.99
239,921.40,48833.58,1906.94,49731.02,3197.48,132844.90,464.90,64.93,4.99,4.90
240,919.00,48537.65,1893.65,49421.50,3183.87,72565.05,355.05,35.16,4.90,5.05
241,924.88,48676.45,1898.85,49569.11,3204.20,114985.12,295.12,58.27,5.05,5.12
242,925.91,48871.98,1888.37,49771.98,3196.27,618734.46,1574.46,280.40,5.12,4.46
243,?,?,?,?,?,?,?,?,4.46,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1867.21,50099.55,3230.20,640104.20,1394.20,271.47,?,4.20
246,926.93,48968.87,1863.87,49861.54,3226.75,580634.00,1404.00,239.06,4.20,4.00
247,918.91,47919.09,1824.69,48781.63,3174.71,338243.99,663.99,136.72,4.00,3.99
